id,title,body,created_at,updated_at,labels;;;;;
"2229968422,Improve ActionCable redis config example [skip ci],""While using `{}` inside yaml files is valid and will be correctly parsed, it looks strange and not idiomatic."",2024-04-07T21:32:04Z,2024-04-07T21:32:08Z,""[{'id': 150377, 'node_id': 'MDU6TGFiZWwxNTAzNzc=', 'url': 'https://api.github.com/repos/rails/rails/labels/docs', 'name': 'docs', 'color': '02d7e1', 'default': False, 'description': None}]""";;;;;
"2229766221,Skip ActiveStorage previewer tests if required tools are unavailable,""These tests require certain tools to be available, if they aren't these tests will fail. Skip instead."",2024-04-07T13:14:48Z,2024-04-07T13:14:53Z,""[{'id': 664533972, 'node_id': 'MDU6TGFiZWw2NjQ1MzM5NzI=', 'url': 'https://api.github.com/repos/rails/rails/labels/activestorage', 'name': 'activestorage', 'color': 'bfd4f2', 'default': False, 'description': None}]""";;;;;
"2229284323,Remove usage of `OpenStruct`,""Follow up to https://github.com/rails/rails/pull/51491#issuecomment-2037429653.";;;;;
;;;;;
"There was one more error regarding the missing `require """"ostruct""""` after that PR merge (https://buildkite.com/rails/rails/builds/106158#018eaee1-7e2b-4e8a-9876-8d3c358d5576), so maybe we can just remove its usage instead?";;;;;
;;;;;
"cc @byroot "",2024-04-06T14:58:05Z,2024-04-06T18:57:07Z,""[{'id': 107188, 'node_id': 'MDU6TGFiZWwxMDcxODg=', 'url': 'https://api.github.com/repos/rails/rails/labels/actionmailer', 'name': 'actionmailer', 'color': '8B00FC', 'default': False, 'description': None}, {'id': 107189, 'node_id': 'MDU6TGFiZWwxMDcxODk=', 'url': 'https://api.github.com/repos/rails/rails/labels/actionpack', 'name': 'actionpack', 'color': 'FFF700', 'default': False, 'description': None}, {'id': 107191, 'node_id': 'MDU6TGFiZWwxMDcxOTE=', 'url': 'https://api.github.com/repos/rails/rails/labels/activerecord', 'name': 'activerecord', 'color': '0b02e1', 'default': False, 'description': None}, {'id': 107195, 'node_id': 'MDU6TGFiZWwxMDcxOTU=', 'url': 'https://api.github.com/repos/rails/rails/labels/railties', 'name': 'railties', 'color': '8BE06E', 'default': False, 'description': None}, {'id': 3666649, 'node_id': 'MDU6TGFiZWwzNjY2NjQ5', 'url': 'https://api.github.com/repos/rails/rails/labels/actionview', 'name': 'actionview', 'color': 'd7e102', 'default': False, 'description': None}, {'id': 123812746, 'node_id': 'MDU6TGFiZWwxMjM4MTI3NDY=', 'url': 'https://api.github.com/repos/rails/rails/labels/activejob', 'name': 'activejob', 'color': '5319e7', 'default': False, 'description': None}]""";;;;;
"2229169236,Don't buffer things that shouldn't be buffered.,""Assigning `ActionDispatch::Response` to `self.response` causes the response body to be buffered (and potentially evaluated multiple times).";;;;;
;;;;;
```ruby;;;;;
class StreamingController < ApplicationController;;;;;
  def simple;;;;;
    body = Enumerator.new do |enumerator|;;;;;
"      enumerator << """"."""" * 1024";;;;;
      ;;;;;
      100.times do |i|;;;;;
"        enumerator << """"This is line #{i}\n""""";;;;;
        sleep 0.1;;;;;
      end;;;;;
    end;;;;;
;;;;;
    # Works, puma, falcon, Rails 7.1;;;;;
"    # self.response = Rack::Response[200, {""""content-type"""" => """"text/plain""""}, body]";;;;;
;;;;;
    # Doesn't work because the response is buffered:;;;;;
"    self.response = ActionDispatch::Response.new(200, {""""content-type"""" => """"text/plain""""}, body)";;;;;
  end;;;;;
end;;;;;
```;;;;;
;;;;;
In both Puma and Falcon, the response is buffered without this change.;;;;;
;;;;;
"cc @willcosgrove "",2024-04-06T09:53:30Z,2024-04-06T10:08:35Z,""[{'id': 107189, 'node_id': 'MDU6TGFiZWwxMDcxODk=', 'url': 'https://api.github.com/repos/rails/rails/labels/actionpack', 'name': 'actionpack', 'color': 'FFF700', 'default': False, 'description': None}]""";;;;;
"2229046933,[Fix #40109] Incorrect joins for polymorphic `has_many through:` with association scope,""<!--";;;;;
Thanks for contributing to Rails!;;;;;
;;;;;
Please do not make *Draft* pull requests, as they still send;;;;;
notifications to everyone watching the Rails repo.;;;;;
;;;;;
Create a pull request when it is ready for review and feedback;;;;;
from the Rails team :).;;;;;
;;;;;
If your pull request affects documentation or any non-code;;;;;
changes, guidelines for those changes are [available;;;;;
here](https://edgeguides.rubyonrails.org/contributing_to_ruby_on_rails.html#contributing-to-the-rails-documentation);;;;;
;;;;;
About this template;;;;;
;;;;;
The following template aims to help contributors write a good description for their pull requests.;;;;;
We'd like you to provide a description of the changes in your pull request (i.e. bugs fixed or features added), the motivation behind the changes, and complete the checklist below before opening a pull request.;;;;;
;;;;;
Feel free to discard it if you need to (e.g. when you just fix a typo). -->;;;;;
;;;;;
### Motivation / Background;;;;;
;;;;;
<!--;;;;;
Describe why this Pull Request needs to be merged. What bug have you fixed? What feature have you added? Why is it important?;;;;;
"If you are fixing a specific issue, include """"Fixes #ISSUE"""" (replace with the issue number, remove the quotes) and the issue will be linked to this PR.";;;;;
-->;;;;;
;;;;;
Fixes https://github.com/rails/rails/issues/40109;;;;;
;;;;;
### Detail;;;;;
;;;;;
Updates `ActiveRecord::Reflection::PolymorphicReflection#join_scopes` to not apply the previous reflection's join scopes if it's a through reflection.;;;;;
;;;;;
### Additional information;;;;;
;;;;;
<!-- Provide additional information such as benchmarks, references to other repositories, or alternative solutions. -->;;;;;
;;;;;
### Checklist;;;;;
;;;;;
Before submitting the PR make sure the following are checked:;;;;;
;;;;;
* [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.;;;;;
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`;;;;;
* [x] Tests are added or updated if you fix a bug or add a feature.;;;;;
* [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.;;;;;
",2024-04-06T03:10:42Z,2024-04-06T07:14:24Z,[{'id': 107191, 'node_id': 'MDU6TGFiZWwxMDcxOTE=', 'url': 'https://api.github.com/repos/rails/rails/labels/activerecord', 'name': 'activerecord', 'color': '0b02e1', 'default': False, 'description': None}]""";;;;;
"2228498012,add navbar highlighting to guides [ci skip],""<!--";;;;;
Thanks for contributing to Rails!;;;;;
;;;;;
Please do not make *Draft* pull requests, as they still send;;;;;
notifications to everyone watching the Rails repo.;;;;;
;;;;;
Create a pull request when it is ready for review and feedback;;;;;
from the Rails team :).;;;;;
;;;;;
If your pull request affects documentation or any non-code;;;;;
changes, guidelines for those changes are [available;;;;;
here](https://edgeguides.rubyonrails.org/contributing_to_ruby_on_rails.html#contributing-to-the-rails-documentation);;;;;
;;;;;
About this template;;;;;
;;;;;
The following template aims to help contributors write a good description for their pull requests.;;;;;
We'd like you to provide a description of the changes in your pull request (i.e. bugs fixed or features added), the motivation behind the changes, and complete the checklist below before opening a pull request.;;;;;
;;;;;
Feel free to discard it if you need to (e.g. when you just fix a typo). -->;;;;;
;;;;;
### Motivation / Background;;;;;
;;;;;
<!--;;;;;
Describe why this Pull Request needs to be merged. What bug have you fixed? What feature have you added? Why is it important?;;;;;
"If you are fixing a specific issue, include """"Fixes #ISSUE"""" (replace with the issue number, remove the quotes) and the issue will be linked to this PR.";;;;;
-->;;;;;
;;;;;
@jathayde @AmandaPerino This Pull Request has been created to add the highlighting to the navigation bar. ;;;;;
;;;;;
### Detail;;;;;
;;;;;
This Pull Request adds on scroll event to control highlighting and css rules for the for highlight. ;;;;;
;;;;;
